Quantify Compound Summary Report 

Printed Mon Jul 24 17:06:51 2023

Compound 1:  Ala

	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	uM	%Dev
11	11	20230717AY_Sample2-1	Analyte		0.84	17025964.000	3769143.750	20.327	bb	33.0	
12	12	20230717AY_Sample2-2	Analyte		0.85	17085096.000	3720652.000	20.664	bb	33.4	
13	13	20230717AY_Sample2-3	Analyte		0.85	19010308.000	3656549.750	23.395	dd	36.2	
14	14	20230717AY_Sample2-4	Analyte		0.84	10269.986	9305691.000	0.005	bbI		
15	15	20230717AY_Sample2-5	Analyte		0.82	10397.783	8833606.000	0.005	bbI		
16	16	20230717AY_Sample2-6	Analyte		0.84	5694.116	9054258.000	0.003	bbI		
17	17	20230717AY_Sample2-7	Analyte		0.85	13434977.000	4869223.500	12.416	bb	17.8	
18	18	20230717AY_Sample2-8	Analyte		0.85	15196954.000	4893110.500	13.976	dd	21.9	
19	19	20230717AY_Sample2-9	Analyte		0.86	15691499.000	4808987.000	14.683	bd	23.6	
20	20	20230717AY_Sample2-10	Analyte		0.82	14516.279	8864308.000	0.007	bbI		
21	21	20230717AY_Sample2-11	Analyte		0.84	3872.013	9324101.000	0.002	bbI		
22	22	20230717AY_Sample2-12	Analyte		0.83	9068.116	9057490.000	0.005	bbI		
23	23	20230717AY_Sample2-13	Analyte		0.86	13671802.000	5117235.500	12.023	bb	16.8	
24	24	20230717AY_Sample2-14	Analyte		0.85	15834460.000	5039657.000	14.139	dd	22.3	
25	25	20230717AY_Sample2-15	Analyte		0.85	16014981.000	5010260.500	14.384	bd	22.9	
26	26	20230717AY_Sample2-16	Analyte		0.83	11014.143	8705067.000	0.006	bbI		
27	27	20230717AY_Sample2-17	Analyte		0.83	7475.339	8935072.000	0.004	bbI		
28	28	20230717AY_Sample2-18	Analyte		0.83	14599.537	9022505.000	0.007	bbI		
29	29	20230717AY_Sample2-19	Analyte		0.85	7954251.000	5098178.000	7.021	dd	7.2	
30	30	20230717AY_Sample2-20	Analyte		0.85	7663905.000	4855422.000	7.103	dd	7.3	
31	31	20230717AY_Sample2-21	Analyte		0.84	7809130.000	4759200.500	7.384	dd	7.7	
32	32	20230717AY_Sample2-22	Analyte		0.84	7068.697	8855970.000	0.004	bbI		
33	33	20230717AY_Sample2-23	Analyte		0.84	6502.431	9027136.000	0.003	dbI		
34	34	20230717AY_Sample2-24	Analyte		0.83	6468.154	9095915.000	0.003	bbI		
35	35	20230717AY_Water7	Analyte		0.83	14389.151	8787915.000	0.007	bbI		
36	36	20230717AY_Sample2-25	Analyte		0.85	11308657.000	7056530.500	7.212	bd	7.4	
37	37	20230717AY_Sample2-26	Analyte		0.84	6475054.500	6148543.500	4.739	bd	4.3	
38	38	20230717AY_Sample2-27	Analyte		0.86	17574444.000	9201690.000	8.595	dd	9.5	
39	39	20230717AY_Sample2-28	Analyte		0.85	13805306.000	7661169.500	8.109	dd	8.7	
40	40	20230717AY_Sample2-29	Analyte		0.85	10208460.000	7135704.500	6.438	bd	6.4	
41	41	20230717AY_Sample2-30	Analyte		0.85	12603581.000	7583641.500	7.479	dd	7.8	
42	42	20230717AY_Sample2-31	Analyte		0.85	16519981.000	7190090.000	10.339	dd	12.8	
43	43	20230717AY_Sample2-32	Analyte		0.84	14754700.000	6794116.000	9.773	dd	11.7	
44	44	20230717AY_Sample2-33	Analyte		0.86	16026916.000	7569703.000	9.528	dd	11.2	
45	45	20230717AY_Sample2-34	Analyte		0.84	14079237.000	7020858.000	9.024	dd	10.3	
46	46	20230717AY_Sample2-35	Analyte		0.85	13474602.000	6963926.000	8.707	dd	9.7	
47	47	20230717AY_Sample2-36	Analyte		0.84	13624837.000	7212558.500	8.501	dd	9.4	
48	48	20230717AY_Sample2-37	Analyte		0.86	24109772.000	7408812.000	14.644	dd	23.5	
49	49	20230717AY_Sample2-38	Analyte		0.85	20162818.000	7003565.000	12.955	dd	19.2	
50	50	20230717AY_Sample2-39	Analyte		0.86	16670204.000	6826712.000	10.989	bb	14.2	
51	51	20230717AY_Sample2-40	Analyte		0.85	24894292.000	7322977.500	15.298	dd	25.0	
52	52	20230717AY_Sample2-41	Analyte		0.85	20873828.000	7330188.500	12.814	dd	18.8	
53	53	20230717AY_Sample2-42	Analyte		0.84	22293154.000	6848410.000	14.649	dd	23.5	
54	54	20230717AY_Sample2-43	Analyte		0.86	19816994.000	7047065.000	12.654	dd	18.4	
55	55	20230717AY_Sample2-44	Analyte		0.86	18477692.000	7111882.500	11.692	dd	15.9	
56	56	20230717AY_Sample2-45	Analyte		0.86	15706195.000	6825515.000	10.355	dd	12.8	
57	57	20230717AY_Sample2-46	Analyte		0.84	11026305.000	6420045.500	7.729	dd	8.2	
58	58	20230717AY_Sample2-47	Analyte		0.84	12308546.000	6450637.000	8.587	dd	9.5	
59	59	20230717AY_Sample2-48	Analyte		0.86	14242305.000	6829180.500	9.385	dd	10.9	
60	60	20230717AY_Water8	Analyte		0.83	5824.485	8355517.500	0.003	bbI		
61	61	20230717AY_Sample2-49	Analyte		0.85	7563445.000	9251506.000	3.679	bd	3.2	
62	62	20230717AY_Sample2-50	Analyte		0.84	12572914.000	10455337.000	5.411	dd	5.1	
63	63	20230717AY_Sample2-51	Analyte		0.85	13371584.000	8638691.000	6.965	bd	7.1	
64	64	20230717AY_Sample2-52	Analyte		0.84	8097084.000	8298508.000	4.391	bd	4.0	
65	65	20230717AY_Sample2-53	Analyte		0.85	11269360.000	9435582.000	5.375	bd	5.1	
66	66	20230717AY_Sample2-54	Analyte		0.84	10255993.000	10815210.000	4.267	bb	3.8	
67	67	20230717AY_Sample2-55	Analyte		0.85	16382348.000	7927551.500	9.299	bd	10.8	
68	68	20230717AY_Sample2-56	Analyte		0.86	15326947.000	7855769.000	8.780	bb	9.8	
69	69	20230717AY_Sample2-57	Analyte		0.85	16676057.000	8041634.500	9.332	bd	10.8	
70	70	20230717AY_Sample2-58	Analyte		0.86	15184318.000	7922403.500	8.625	bd	9.6	
71	71	20230717AY_Sample2-59	Analyte		0.85	14600140.000	8004651.000	8.208	bb	8.9	
72	72	20230717AY_Sample2-60	Analyte		0.85	19440090.000	8574792.000	10.202	bb	12.5	
73	73	20230717AY_Sample2-61	Analyte		0.84	5114613.500	8655637.000	2.659	bb	2.2	
74	74	20230717AY_Sample2-62	Analyte		0.85	5600720.500	8240767.500	3.058	dd	2.6	
75	75	20230717AY_Sample2-63	Analyte		0.85	6575023.000	8073101.000	3.665	dd	3.2	
76	76	20230717AY_Sample2-64	Analyte		0.85	4416172.500	8050670.500	2.468	dd	2.1	
77	77	20230717AY_Sample2-65	Analyte		0.84	4333643.500	7909845.500	2.465	dd	2.1	
78	78	20230717AY_Sample2-66	Analyte		0.86	4814789.000	8271550.500	2.619	dd	2.2	
79	79	20230717AY_Sample2-67	Analyte		0.85	17647388.000	9198524.000	8.633	dd	9.6	
80	80	20230717AY_Sample2-68	Analyte		0.85	15214221.000	9125233.000	7.503	bd	7.8	
81	81	20230717AY_Sample2-69	Analyte		0.84	15259018.000	9198305.000	7.465	dd	7.8	
82	82	20230717AY_Sample2-70	Analyte		0.86	16328557.000	9343394.000	7.864	bd	8.4	
83	83	20230717AY_Sample2-71	Analyte		0.85	14214955.000	9715760.000	6.584	bb	6.6	
84	84	20230717AY_Sample2-72	Analyte		0.86	19864966.000	9049207.000	9.878	bb	11.9	
85	85	20230717AY_Water10	Analyte		0.83	10418.916	9174298.000	0.005	bdI		
86	86	20230717AY_Std4-1	Standard	0.000			9170342.000		MM-I		
87	87	20230717AY_Std4-2	Standard	0.100	0.83	389853.813	9289593.000	0.189	bb	0.1	13.3
88	88	20230717AY_Std4-3	Standard	0.500	0.83	1524141.250	9219797.000	0.744	MM	0.6	12.5
89	89	20230717AY_Std4-4	Standard	1.000	0.82	2784899.000	8966334.000	1.398	MM	1.1	11.2
90	90	20230717AY_Std4-5	Standard	5.000	0.85	8458798.000	7948400.000	4.789	MM	4.4	-12.0
91	91	20230717AY_Std4-6	Standard	10.000	0.84	14761811.000	7344406.500	9.045	bd	10.3	3.1
92	92	20230717AY_Std4-7	Standard	50.000	0.86	55895068.000	5242382.500	47.980	MM	49.8	-0.4
93	93	20230717AY_Std4-8	Standard	100.000			4154051.750		MM-I		

Compound 10:  Gly

	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	uM	%Dev
1	1	20230717AY_Water5			0.92	573.650	13864.279	0.559	bb	1.1	
2	2	20230717AY_Std3-1	Standard	0.000			14106.027		MM-I		
3	3	20230717AY_Std3-2	Standard	0.600			14414.988		MM-I		
4	4	20230717AY_Std3-3	Standard	3.000	0.92	1284.905	13281.203	1.306	MM	2.9	-3.3
5	5	20230717AY_Std3-4	Standard	6.000	0.92	1862.239	12846.779	1.957	MM	4.4	-26.0
6	6	20230717AY_Std3-5	Standard	30.000	0.93	8617.381	12150.696	9.574	MM	23.2	-22.6
7	7	20230717AY_Std3-6	Standard	60.000	0.91	16937.674	12307.919	18.578	MM	47.5	-20.9
8	8	20230717AY_Std3-7	Standard	300.000			6213.779		MM-I		
9	9	20230717AY_Std3-8	Standard	600.000			4467.033		MM-I		
10	10	20230717AY_Water6	Analyte		0.67	175.118	14282.993	0.166	bd	0.2	
11	11	20230717AY_Sample2-1	Analyte		0.90	5032.580	12162.797	5.586	MM	13.2	
12	12	20230717AY_Sample2-2	Analyte		0.91	5191.980	11555.065	6.066	MM	14.4	
13	13	20230717AY_Sample2-3	Analyte		0.91	5367.289	10558.331	6.863	MM	16.4	
14	14	20230717AY_Sample2-4	Analyte		0.69	167.431	14303.490	0.158	bb	0.2	
15	15	20230717AY_Sample2-5	Analyte		0.69	133.001	14334.686	0.125	bd	0.1	
16	16	20230717AY_Sample2-6	Analyte		0.67	59.338	14903.707	0.054	bbI		
17	17	20230717AY_Sample2-7	Analyte		0.90	2015.071	12521.480	2.173	MM	4.9	
18	18	20230717AY_Sample2-8	Analyte		0.90	2040.928	11862.749	2.323	bb	5.3	
19	19	20230717AY_Sample2-9	Analyte		0.91	1985.085	11948.752	2.243	MM	5.1	
20	20	20230717AY_Sample2-10	Analyte		0.67	112.797	14249.185	0.107	bd	0.1	
21	21	20230717AY_Sample2-11	Analyte		0.71	177.482	14673.452	0.163	bd	0.2	
22	22	20230717AY_Sample2-12	Analyte		0.67	120.086	14712.994	0.110	bd	0.1	
23	23	20230717AY_Sample2-13	Analyte		0.92	1886.115	12383.029	2.056	MM	4.7	
24	24	20230717AY_Sample2-14	Analyte		0.90	1842.580	11433.697	2.176	MM	5.0	
25	25	20230717AY_Sample2-15	Analyte		0.92	2187.578	11719.489	2.520	bb	5.8	
26	26	20230717AY_Sample2-16	Analyte		0.70	142.263	14092.826	0.136	bb	0.2	
27	27	20230717AY_Sample2-17	Analyte		0.67	90.967	14113.573	0.087	bd	0.1	
28	28	20230717AY_Sample2-18	Analyte				14581.186				
29	29	20230717AY_Sample2-19	Analyte		0.90	702.620	12060.746	0.786	MM	1.7	
30	30	20230717AY_Sample2-20	Analyte		0.90	630.426	11981.415	0.710	MM	1.5	
31	31	20230717AY_Sample2-21	Analyte		0.90	615.206	11564.100	0.718	MM	1.5	
32	32	20230717AY_Sample2-22	Analyte		0.69	190.289	13870.927	0.185	bd	0.3	
33	33	20230717AY_Sample2-23	Analyte		0.68	100.063	14577.729	0.093	bd	0.1	
34	34	20230717AY_Sample2-24	Analyte		0.70	76.947	14492.122	0.072	dd	0.0	
35	35	20230717AY_Water7	Analyte		0.67	108.707	14409.508	0.102	bd	0.1	
36	36	20230717AY_Sample2-25	Analyte		0.92	609.370	12187.290	0.675	MM	1.4	
37	37	20230717AY_Sample2-26	Analyte		0.91	438.293	11400.638	0.519	MM	1.1	
38	38	20230717AY_Sample2-27	Analyte		0.90	761.206	11786.844	0.872	MM	1.9	
39	39	20230717AY_Sample2-28	Analyte		0.90	756.520	11651.183	0.877	MM	1.9	
40	40	20230717AY_Sample2-29	Analyte		0.91	781.747	11441.146	0.922	MM	2.0	
41	41	20230717AY_Sample2-30	Analyte		0.91	652.060	11833.805	0.744	MM	1.6	
42	42	20230717AY_Sample2-31	Analyte		0.90	1153.446	11526.579	1.351	MM	3.0	
43	43	20230717AY_Sample2-32	Analyte		0.90	1227.577	12094.862	1.370	MM	3.1	
44	44	20230717AY_Sample2-33	Analyte		0.91	1213.900	11339.231	1.445	MM	3.2	
45	45	20230717AY_Sample2-34	Analyte		0.90	1088.841	11514.325	1.277	MM	2.8	
46	46	20230717AY_Sample2-35	Analyte		0.91	931.320	11437.587	1.099	MM	2.4	
47	47	20230717AY_Sample2-36	Analyte		0.91	773.534	11699.591	0.893	MM	1.9	
48	48	20230717AY_Sample2-37	Analyte		0.91	1023.794	12166.984	1.136	MM	2.5	
49	49	20230717AY_Sample2-38	Analyte		0.90	1273.994	11093.729	1.550	MM	3.5	
50	50	20230717AY_Sample2-39	Analyte		0.91	921.645	11246.827	1.106	MM	2.4	
51	51	20230717AY_Sample2-40	Analyte		0.90	1055.947	11139.914	1.280	MM	2.8	
52	52	20230717AY_Sample2-41	Analyte		0.90	1110.973	11139.296	1.346	MM	3.0	
53	53	20230717AY_Sample2-42	Analyte		0.90	959.693	11107.462	1.166	MM	2.6	
54	54	20230717AY_Sample2-43	Analyte		0.90	1285.323	10812.791	1.605	MM	3.6	
55	55	20230717AY_Sample2-44	Analyte		0.92	1126.001	10702.398	1.420	MM	3.2	
56	56	20230717AY_Sample2-45	Analyte		0.92	1222.709	10781.797	1.531	MM	3.4	
57	57	20230717AY_Sample2-46	Analyte		0.91	748.810	10517.205	0.961	MM	2.1	
58	58	20230717AY_Sample2-47	Analyte		0.90	721.021	10996.802	0.885	MM	1.9	
59	59	20230717AY_Sample2-48	Analyte		0.91	966.136	10974.548	1.188	MM	2.6	
60	60	20230717AY_Water8	Analyte		0.67	116.285	13181.558	0.119	bd	0.1	
61	61	20230717AY_Sample2-49	Analyte		0.92	1604.853	11251.116	1.926	MM	4.4	
62	62	20230717AY_Sample2-50	Analyte		0.92	4078.601	9525.207	5.781	MM	13.7	
63	63	20230717AY_Sample2-51	Analyte		0.93	1512.708	11394.959	1.792	MM	4.0	
64	64	20230717AY_Sample2-52	Analyte		0.91	788.245	11922.353	0.893	MM	1.9	
65	65	20230717AY_Sample2-53	Analyte		0.93	1279.050	11904.086	1.451	MM	3.2	
66	66	20230717AY_Sample2-54	Analyte		0.91	2664.990	11119.322	3.236	MM	7.5	
67	67	20230717AY_Sample2-55	Analyte		0.90	1183.508	11404.965	1.401	MM	3.1	
68	68	20230717AY_Sample2-56	Analyte		0.91	1509.659	10980.949	1.856	MM	4.2	
69	69	20230717AY_Sample2-57	Analyte		0.91	1298.477	11216.480	1.563	MM	3.5	
70	70	20230717AY_Sample2-58	Analyte		0.92	1531.040	11759.104	1.758	MM	4.0	
71	71	20230717AY_Sample2-59	Analyte		0.92	1286.292	11387.039	1.525	MM	3.4	
72	72	20230717AY_Sample2-60	Analyte		0.90	1555.530	11296.436	1.859	bb	4.2	
73	73	20230717AY_Sample2-61	Analyte		0.90	4288.660	10925.899	5.299	MM	12.5	
74	74	20230717AY_Sample2-62	Analyte		0.92	4174.876	11260.926	5.005	bb	11.8	
75	75	20230717AY_Sample2-63	Analyte		0.90	4082.322	10917.198	5.048	MM	11.9	
76	76	20230717AY_Sample2-64	Analyte		0.91	3814.605	11097.398	4.640	MM	10.9	
77	77	20230717AY_Sample2-65	Analyte		0.90	4557.586	11254.994	5.467	MM	12.9	
78	78	20230717AY_Sample2-66	Analyte		0.91	4289.204	11492.651	5.038	MM	11.9	
79	79	20230717AY_Sample2-67	Analyte		0.91	838.642	10924.633	1.036	bd	2.3	
80	80	20230717AY_Sample2-68	Analyte		0.91	683.246	11830.215	0.780	MM	1.7	
81	81	20230717AY_Sample2-69	Analyte		0.90	821.036	11334.490	0.978	MM	2.1	
82	82	20230717AY_Sample2-70	Analyte		0.91	792.697	11833.909	0.904	MM	2.0	
83	83	20230717AY_Sample2-71	Analyte		0.91	703.961	11329.988	0.839	MM	1.8	
84	84	20230717AY_Sample2-72	Analyte		0.92	1106.296	11514.842	1.297	MM	2.9	
85	85	20230717AY_Water10	Analyte		0.68	218.042	15105.704	0.195	bb	0.3	
86	86	20230717AY_Std4-1	Standard	0.000			15353.456		MM-I		
87	87	20230717AY_Std4-2	Standard	0.600			14158.722		MM-I		
88	88	20230717AY_Std4-3	Standard	3.000	0.91	1633.589	14305.841	1.542	MM	3.5	15.2
89	89	20230717AY_Std4-4	Standard	6.000	0.91	3044.531	12918.889	3.181	bb	7.4	22.6
90	90	20230717AY_Std4-5	Standard	30.000	0.92	13445.185	12270.860	14.792	MM	37.0	23.3
91	91	20230717AY_Std4-6	Standard	60.000	0.91	24493.996	12133.002	27.254	MM	73.1	21.8
92	92	20230717AY_Std4-7	Standard	300.000			7145.259		MM-I		
93	93	20230717AY_Std4-8	Standard	600.000			3923.096		MM-I		

Compound 11:  Gly*

	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	uM	%Dev
1	1	20230717AY_Water5		13.500	0.92	13864.279		13864.279	bb	16.5	21.9
2	2	20230717AY_Std3-1	Standard	13.500	0.93	14106.027		14106.027	bb	16.7	24.0
3	3	20230717AY_Std3-2	Standard	13.500	0.92	14414.988		14414.988	bb	17.1	26.7
4	4	20230717AY_Std3-3	Standard	13.500	0.92	13281.203		13281.203	MM	15.8	16.8
5	5	20230717AY_Std3-4	Standard	13.500	0.91	12846.779		12846.779	MM	15.2	12.9
6	6	20230717AY_Std3-5	Standard	13.500	0.93	12150.696		12150.696	MM	14.4	6.8
7	7	20230717AY_Std3-6	Standard	13.500	0.92	12307.919		12307.919	MM	14.6	8.2
8	8	20230717AY_Std3-7	Standard	13.500	0.90	6213.779		6213.779	bd	7.4	-45.4
9	9	20230717AY_Std3-8	Standard	13.500	0.90	4467.033		4467.033	bb	5.3	-60.7
10	10	20230717AY_Water6	Analyte	13.500	0.92	14282.993		14282.993	bb	17.0	25.6
11	11	20230717AY_Sample2-1	Analyte	13.500	0.90	12162.797		12162.797	MM	14.4	6.9
12	12	20230717AY_Sample2-2	Analyte	13.500	0.93	11555.065		11555.065	MM	13.7	1.6
13	13	20230717AY_Sample2-3	Analyte	13.500	0.92	10558.331		10558.331	MM	12.5	-7.2
14	14	20230717AY_Sample2-4	Analyte	13.500	0.92	14303.490		14303.490	bb	17.0	25.7
15	15	20230717AY_Sample2-5	Analyte	13.500	0.92	14334.686		14334.686	bb	17.0	26.0
16	16	20230717AY_Sample2-6	Analyte	13.500	0.93	14903.707		14903.707	bb	17.7	31.0
17	17	20230717AY_Sample2-7	Analyte	13.500	0.92	12521.480		12521.480	MM	14.9	10.1
18	18	20230717AY_Sample2-8	Analyte	13.500	0.90	11862.749		11862.749	bd	14.1	4.3
19	19	20230717AY_Sample2-9	Analyte	13.500	0.92	11948.752		11948.752	MM	14.2	5.0
20	20	20230717AY_Sample2-10	Analyte	13.500	0.92	14249.185		14249.185	bb	16.9	25.3
21	21	20230717AY_Sample2-11	Analyte	13.500	0.92	14673.452		14673.452	bb	17.4	29.0
22	22	20230717AY_Sample2-12	Analyte	13.500	0.91	14712.994		14712.994	bd	17.5	29.3
23	23	20230717AY_Sample2-13	Analyte	13.500	0.92	12383.029		12383.029	MM	14.7	8.9
24	24	20230717AY_Sample2-14	Analyte	13.500	0.90	11433.697		11433.697	bb	13.6	0.5
25	25	20230717AY_Sample2-15	Analyte	13.500	0.91	11719.489		11719.489	MM	13.9	3.0
26	26	20230717AY_Sample2-16	Analyte	13.500	0.92	14092.826		14092.826	bb	16.7	23.9
27	27	20230717AY_Sample2-17	Analyte	13.500	0.93	14113.573		14113.573	bb	16.8	24.1
28	28	20230717AY_Sample2-18	Analyte	13.500	0.92	14581.186		14581.186	bb	17.3	28.2
29	29	20230717AY_Sample2-19	Analyte	13.500	0.91	12060.746		12060.746	MM	14.3	6.0
30	30	20230717AY_Sample2-20	Analyte	13.500	0.90	11981.415		11981.415	MM	14.2	5.3
31	31	20230717AY_Sample2-21	Analyte	13.500	0.90	11564.100		11564.100	MM	13.7	1.7
32	32	20230717AY_Sample2-22	Analyte	13.500	0.92	13870.927		13870.927	bb	16.5	21.9
33	33	20230717AY_Sample2-23	Analyte	13.500	0.93	14577.729		14577.729	bd	17.3	28.2
34	34	20230717AY_Sample2-24	Analyte	13.500	0.92	14492.122		14492.122	bb	17.2	27.4
35	35	20230717AY_Water7	Analyte	13.500	0.92	14409.508		14409.508	bb	17.1	26.7
36	36	20230717AY_Sample2-25	Analyte	13.500	0.92	12187.290		12187.290	MM	14.5	7.1
37	37	20230717AY_Sample2-26	Analyte	13.500	0.91	11400.638		11400.638	MM	13.5	0.2
38	38	20230717AY_Sample2-27	Analyte	13.500	0.91	11786.844		11786.844	MM	14.0	3.6
39	39	20230717AY_Sample2-28	Analyte	13.500	0.91	11651.183		11651.183	MM	13.8	2.4
40	40	20230717AY_Sample2-29	Analyte	13.500	0.92	11441.146		11441.146	MM	13.6	0.6
41	41	20230717AY_Sample2-30	Analyte	13.500	0.91	11833.805		11833.805	MM	14.0	4.0
42	42	20230717AY_Sample2-31	Analyte	13.500	0.90	11526.579		11526.579	MM	13.7	1.3
43	43	20230717AY_Sample2-32	Analyte	13.500	0.90	12094.862		12094.862	MM	14.4	6.3
44	44	20230717AY_Sample2-33	Analyte	13.500	0.91	11339.231		11339.231	MM	13.5	-0.3
45	45	20230717AY_Sample2-34	Analyte	13.500	0.91	11514.325		11514.325	MM	13.7	1.2
46	46	20230717AY_Sample2-35	Analyte	13.500	0.91	11437.587		11437.587	MM	13.6	0.6
47	47	20230717AY_Sample2-36	Analyte	13.500	0.90	11699.591		11699.591	MM	13.9	2.9
48	48	20230717AY_Sample2-37	Analyte	13.500	0.91	12166.984		12166.984	MM	14.4	7.0
49	49	20230717AY_Sample2-38	Analyte	13.500	0.90	11093.729		11093.729	MM	13.2	-2.5
50	50	20230717AY_Sample2-39	Analyte	13.500	0.91	11246.827		11246.827	MM	13.3	-1.1
51	51	20230717AY_Sample2-40	Analyte	13.500	0.90	11139.914		11139.914	MM	13.2	-2.1
52	52	20230717AY_Sample2-41	Analyte	13.500	0.90	11139.296		11139.296	MM	13.2	-2.1
53	53	20230717AY_Sample2-42	Analyte	13.500	0.90	11107.462		11107.462	MM	13.2	-2.4
54	54	20230717AY_Sample2-43	Analyte	13.500	0.91	10812.791		10812.791	MM	12.8	-4.9
55	55	20230717AY_Sample2-44	Analyte	13.500	0.90	10702.398		10702.398	MM	12.7	-5.9
56	56	20230717AY_Sample2-45	Analyte	13.500	0.91	10781.797		10781.797	MM	12.8	-5.2
57	57	20230717AY_Sample2-46	Analyte	13.500	0.90	10517.205		10517.205	MM	12.5	-7.5
58	58	20230717AY_Sample2-47	Analyte	13.500	0.90	10996.802		10996.802	MM	13.1	-3.3
59	59	20230717AY_Sample2-48	Analyte	13.500	0.91	10974.548		10974.548	MM	13.0	-3.5
60	60	20230717AY_Water8	Analyte	13.500	0.92	13181.558		13181.558	bb	15.6	15.9
61	61	20230717AY_Sample2-49	Analyte	13.500	0.92	11251.116		11251.116	MM	13.4	-1.1
62	62	20230717AY_Sample2-50	Analyte	13.500	0.91	9525.207		9525.207	MM	11.3	-16.3
63	63	20230717AY_Sample2-51	Analyte	13.500	0.92	11394.959		11394.959	MM	13.5	0.2
64	64	20230717AY_Sample2-52	Analyte	13.500	0.92	11922.353		11922.353	MM	14.1	4.8
65	65	20230717AY_Sample2-53	Analyte	13.500	0.92	11904.086		11904.086	bd	14.1	4.7
66	66	20230717AY_Sample2-54	Analyte	13.500	0.91	11119.322		11119.322	MM	13.2	-2.2
67	67	20230717AY_Sample2-55	Analyte	13.500	0.91	11404.965		11404.965	MM	13.5	0.3
68	68	20230717AY_Sample2-56	Analyte	13.500	0.92	10980.949		10980.949	MM	13.0	-3.5
69	69	20230717AY_Sample2-57	Analyte	13.500	0.91	11216.480		11216.480	MM	13.3	-1.4
70	70	20230717AY_Sample2-58	Analyte	13.500	0.91	11759.104		11759.104	MM	14.0	3.4
71	71	20230717AY_Sample2-59	Analyte	13.500	0.91	11387.039		11387.039	MM	13.5	0.1
72	72	20230717AY_Sample2-60	Analyte	13.500	0.91	11296.436		11296.436	MM	13.4	-0.7
73	73	20230717AY_Sample2-61	Analyte	13.500	0.90	10925.899		10925.899	MM	13.0	-3.9
74	74	20230717AY_Sample2-62	Analyte	13.500	0.92	11260.926		11260.926	MM	13.4	-1.0
75	75	20230717AY_Sample2-63	Analyte	13.500	0.91	10917.198		10917.198	MM	13.0	-4.0
76	76	20230717AY_Sample2-64	Analyte	13.500	0.90	11097.398		11097.398	MM	13.2	-2.4
77	77	20230717AY_Sample2-65	Analyte	13.500	0.90	11254.994		11254.994	MM	13.4	-1.1
78	78	20230717AY_Sample2-66	Analyte	13.500	0.92	11492.651		11492.651	MM	13.6	1.0
79	79	20230717AY_Sample2-67	Analyte	13.500	0.91	10924.633		10924.633	MM	13.0	-4.0
80	80	20230717AY_Sample2-68	Analyte	13.500	0.91	11830.215		11830.215	MM	14.0	4.0
81	81	20230717AY_Sample2-69	Analyte	13.500	0.90	11334.490		11334.490	MM	13.5	-0.4
82	82	20230717AY_Sample2-70	Analyte	13.500	0.92	11833.909		11833.909	MM	14.0	4.0
83	83	20230717AY_Sample2-71	Analyte	13.500	0.91	11329.988		11329.988	MM	13.4	-0.4
84	84	20230717AY_Sample2-72	Analyte	13.500	0.92	11514.842		11514.842	MM	13.7	1.2
85	85	20230717AY_Water10	Analyte	13.500	0.92	15105.704		15105.704	bd	17.9	32.8
86	86	20230717AY_Std4-1	Standard	13.500	0.93	15353.456		15353.456	bb	18.2	35.0
87	87	20230717AY_Std4-2	Standard	13.500	0.92	14158.722		14158.722	bb	16.8	24.5
88	88	20230717AY_Std4-3	Standard	13.500	0.91	14305.841		14305.841	MM	17.0	25.8
89	89	20230717AY_Std4-4	Standard	13.500	0.90	12918.889		12918.889	MM	15.3	13.6
90	90	20230717AY_Std4-5	Standard	13.500	0.92	12270.860		12270.860	MM	14.6	7.9
91	91	20230717AY_Std4-6	Standard	13.500	0.91	12133.002		12133.002	MM	14.4	6.7
92	92	20230717AY_Std4-7	Standard	13.500	0.93	7145.259		7145.259	bb	8.5	-37.2
93	93	20230717AY_Std4-8	Standard	13.500	0.90	3923.096		3923.096	bd	4.7	-65.5

Compound 12:  His

	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	uM	%Dev
1	1	20230717AY_Water5			3.74	936247.125	13079051.000	0.322	dd	0.1	
2	2	20230717AY_Std3-1	Standard	0.000			13905968.000		MM-I		
3	3	20230717AY_Std3-2	Standard	0.100	3.74	1212659.500	13379140.000	0.408	bd	0.1	16.2
4	4	20230717AY_Std3-3	Standard	0.500	3.74	4152111.250	12968600.000	1.441	bd	0.5	0.7
5	5	20230717AY_Std3-4	Standard	1.000	3.73	7963870.500	13419592.000	2.671	bd	1.0	-2.0
6	6	20230717AY_Std3-5	Standard	5.000	3.75	36907144.000	14025142.000	11.842	bb	5.0	0.5
7	7	20230717AY_Std3-6	Standard	10.000	3.73	69587400.000	14086801.000	22.230	bb	9.9	-0.8
8	8	20230717AY_Std3-7	Standard	50.000			9949948.000		MM-I		
9	9	20230717AY_Std3-8	Standard	100.000			7770764.000		MM-I		
10	10	20230717AY_Water6	Analyte		3.75	900019.500	13824269.000	0.293	dd	0.1	
11	11	20230717AY_Sample2-1	Analyte		3.73	14492835.000	14794458.000	4.408	bb	1.7	
12	12	20230717AY_Sample2-2	Analyte		3.75	14492339.000	14197794.000	4.593	bb	1.8	
